created_at,user_id_str,full_text,data_cleaning,case_folding,normalization,preprocessing_stats
Fri Dec 26 21:57:00 +0000 2025,1496846304697528323, Mau performa mesin maksimal tanpa boros bensin? Pelajari dulu panduan campuran etanol &amp; BBM berdasarkan studi dan fakta nyata ️ https://t.co/NlunQUAIfB #PerformaMesin #BBMEtanol #EfisiensiBahanBakar #Otomotif #EcoDriving,Mau performa mesin maksimal tanpa boros bensin Pelajari dulu panduan campuran etanol BBM berdasarkan studi dan fakta nyata PerformaMesin BBMEtanol EfisiensiBahanBakar Otomotif EcoDriving,mau performa mesin maksimal tanpa boros bensin pelajari dulu panduan campuran etanol bbm berdasarkan studi dan fakta nyata performamesin bbmetanol efisiensibahanbakar otomotif ecodriving,mau performa mesin maksimal tanpa boros bensin pelajari dulu panduan campuran etanol bbm berdasarkan studi dan fakta nyata performamesin bbmetanol efisiensibahanbakar otomotif ecodriving,orig:225 -> final:186
Fri Dec 26 21:13:31 +0000 2025,1318011337000112129,@BiLLRaY2019 @AntoniusCDN siram etanol dulu baru disetrum,siram etanol dulu baru disetrum,siram etanol dulu baru disetrum,siram etanol dulu baru disetrum,orig:57 -> final:31
Fri Dec 26 20:57:00 +0000 2025,1496846304697528323,️ Teknologi &amp; inovasi di industri BBM: sebuah panduan lengkap tentang efek pencampuran etanol ke bensin dari torsi hingga konsumsi ada di posting ini https://t.co/NlunQUAIfB #OtomotifNews #BBM #Etanol #PerformaMesin #FuelEconomy,Teknologi inovasi di industri BBM sebuah panduan lengkap tentang efek pencampuran etanol ke bensin dari torsi hingga konsumsi ada di posting ini OtomotifNews BBM Etanol PerformaMesin FuelEconomy,teknologi inovasi di industri bbm sebuah panduan lengkap tentang efek pencampuran etanol ke bensin dari torsi hingga konsumsi ada di posting ini otomotifnews bbm etanol performamesin fueleconomy,teknologi inovasi di industri bbm sebuah panduan lengkap tentang efek pencampuran etanol ke bensin dari torsi hingga konsumsi ada di posting ini otomotifnews bbm etanol performamesin fueleconomy,orig:232 -> final:194
Fri Dec 26 20:24:31 +0000 2025,1010967580419358720,@susno2g @KangDediMulyadi @Danantara_ri @pertamina @KementerianESDM @KompasTV @tribunnews @Metro_TV Etanol harus ganti logam anti karat,Etanol harus ganti logam anti karat,etanol harus ganti logam anti karat,etanol harus ganti logam anti karat,orig:135 -> final:35
Fri Dec 26 20:08:22 +0000 2025,2000230083097976832,Cinta bahlil terhadap etanol adalah cinta kimia alias tidak organik,Cinta bahlil terhadap etanol adalah cinta kimia alias tidak organik,cinta bahlil terhadap etanol adalah cinta kimia alias tidak organik,cinta bahlil terhadap etanol adalah cinta kimia alias tidak organik,orig:67 -> final:67
Fri Dec 26 19:57:00 +0000 2025,1496846304697528323,️ Dengan anggapan hemat BBM &amp; ramah lingkungan etanol sering jadi pilihan. Tapi apa dampaknya ke performa mesin dan konsumsi bensin? Baca di sini ️ https://t.co/NlunQUAaq3 #Sustainability #Etanol #FuelEfficiency #PerformaMesin #Otomotif,Dengan anggapan hemat BBM ramah lingkungan etanol sering jadi pilihan Tapi apa dampaknya ke performa mesin dan konsumsi bensin Baca di sini Sustainability Etanol FuelEfficiency PerformaMesin Otomotif,dengan anggapan hemat bbm ramah lingkungan etanol sering jadi pilihan tapi apa dampaknya ke performa mesin dan konsumsi bensin baca di sini sustainability etanol fuelefficiency performamesin otomotif,dengan anggapan hemat bbm ramah lingkungan etanol sering jadi pilihan tapi apa dampaknya ke performa mesin dan konsumsi bensin baca di sini sustainability etanol fuelefficiency performamesin otomotif,orig:240 -> final:199
Fri Dec 26 18:56:00 +0000 2025,1496846304697528323, Fakta penting bagi pemilik mobil: campuran etanol bisa mempengaruhi tenaga mesin &amp; jarak tempuh. Yuk ketahui risikonya sebelum mencoba! https://t.co/NlunQUAaq3 #BBMEtanol #PerformaKendaraan #EcoDriving #MobilIndonesia #Bensin,Fakta penting bagi pemilik mobil campuran etanol bisa mempengaruhi tenaga mesin jarak tempuh Yuk ketahui risikonya sebelum mencoba BBMEtanol PerformaKendaraan EcoDriving MobilIndonesia Bensin,fakta penting bagi pemilik mobil campuran etanol bisa mempengaruhi tenaga mesin jarak tempuh yuk ketahui risikonya sebelum mencoba bbmetanol performakendaraan ecodriving mobilindonesia bensin,fakta penting bagi pemilik mobil campuran etanol bisa mempengaruhi tenaga mesin jarak tempuh yuk ketahui risikonya sebelum mencoba bbmetanol performakendaraan ecodriving mobilindonesia bensin,orig:230 -> final:191
Fri Dec 26 17:56:00 +0000 2025,1496846304697528323, Penasaran apakah bensin + etanol benar-benar efisien? Cek rangkuman kelebihan dan kekurangannya di artikel berikut https://t.co/NlunQUAIfB #Etanol #BBM #PerformaMesin #TipsMobil #Otomotif,Penasaran apakah bensin etanol benar benar efisien Cek rangkuman kelebihan dan kekurangannya di artikel berikut Etanol BBM PerformaMesin TipsMobil Otomotif,penasaran apakah bensin etanol benar benar efisien cek rangkuman kelebihan dan kekurangannya di artikel berikut etanol bbm performamesin tipsmobil otomotif,penasaran apakah bensin etanol benar benar efisien cek rangkuman kelebihan dan kekurangannya di artikel berikut etanol bbm performamesin tipsmobil otomotif,orig:188 -> final:155
Fri Dec 26 16:56:00 +0000 2025,1496846304697528323, Data &amp; fakta: Seberapa signifikan campuran etanol terhadap konsumsi bahan bakar? Semua terjawab di blogpost terbaru kami ️ https://t.co/NlunQUAaq3 #DataOtomotif #EtanolCampuran #KonsumsiBBM #FuelEfficiency #CarPerformance,Data fakta Seberapa signifikan campuran etanol terhadap konsumsi bahan bakar Semua terjawab di blogpost terbaru kami DataOtomotif EtanolCampuran KonsumsiBBM FuelEfficiency CarPerformance,data fakta seberapa signifikan campuran etanol terhadap konsumsi bahan bakar semua terjawab di blogpost terbaru kami dataotomotif etanolcampuran konsumsibbm fuelefficiency carperformance,data fakta seberapa signifikan campuran etanol terhadap konsumsi bahan bakar semua terjawab di blogpost terbaru kami dataotomotif etanolcampuran konsumsibbm fuelefficiency carperformance,orig:226 -> final:186
Fri Dec 26 16:52:22 +0000 2025,1529472830,Tahun depan etanol maen? https://t.co/4jY98w3ALx,Tahun depan etanol maen,tahun depan etanol maen,tahun depan etanol maen,orig:48 -> final:23
