created_at,user_id_str,full_text,clean_text,normalized,tokens,stemmed,final_text
Fri Dec 26 21:57:00 +0000 2025,1496846304697528323, Mau performa mesin maksimal tanpa boros bensin? Pelajari dulu panduan campuran etanol &amp; BBM berdasarkan studi dan fakta nyata ️ https://t.co/NlunQUAIfB #PerformaMesin #BBMEtanol #EfisiensiBahanBakar #Otomotif #EcoDriving,mau performa mesin maksimal tanpa boros bensin pelajari dulu panduan campuran etanol amp bbm berdasarkan studi dan fakta nyata,mau performa mesin maksimal tanpa boros bensin pelajari dulu panduan campuran etanol amp bbm berdasarkan studi dan fakta nyata,"['performa', 'mesin', 'maksimal', 'boros', 'bensin', 'pelajari', 'panduan', 'campuran', 'etanol', 'amp', 'bbm', 'berdasarkan', 'studi', 'fakta', 'nyata']","['performa', 'mesin', 'maksimal', 'boros', 'bensin', 'ajar', 'pandu', 'campur', 'etanol', 'amp', 'bbm', 'dasar', 'studi', 'fakta', 'nyata']",performa mesin maksimal boros bensin ajar pandu campur etanol amp bbm dasar studi fakta nyata
Fri Dec 26 21:13:31 +0000 2025,1318011337000112129,@BiLLRaY2019 @AntoniusCDN siram etanol dulu baru disetrum,siram etanol dulu baru disetrum,siram etanol dulu baru disetrum,"['siram', 'etanol', 'disetrum']","['siram', 'etanol', 'setrum']",siram etanol setrum
Fri Dec 26 20:57:00 +0000 2025,1496846304697528323,️ Teknologi &amp; inovasi di industri BBM: sebuah panduan lengkap tentang efek pencampuran etanol ke bensin dari torsi hingga konsumsi ada di posting ini https://t.co/NlunQUAIfB #OtomotifNews #BBM #Etanol #PerformaMesin #FuelEconomy,teknologi amp inovasi di industri bbm sebuah panduan lengkap tentang efek pencampuran etanol ke bensin dari torsi hingga konsumsi ada di posting ini,teknologi amp inovasi di industri bbm sebuah panduan lengkap tentang efek pencampuran etanol ke bensin dari torsi hingga konsumsi ada di posting ini,"['teknologi', 'amp', 'inovasi', 'industri', 'bbm', 'panduan', 'lengkap', 'efek', 'pencampuran', 'etanol', 'bensin', 'torsi', 'konsumsi', 'posting']","['teknologi', 'amp', 'inovasi', 'industri', 'bbm', 'pandu', 'lengkap', 'efek', 'campur', 'etanol', 'bensin', 'torsi', 'konsumsi', 'posting']",teknologi amp inovasi industri bbm pandu lengkap efek campur etanol bensin torsi konsumsi posting
Fri Dec 26 20:24:31 +0000 2025,1010967580419358720,@susno2g @KangDediMulyadi @Danantara_ri @pertamina @KementerianESDM @KompasTV @tribunnews @Metro_TV Etanol harus ganti logam anti karat,etanol harus ganti logam anti karat,etanol harus ganti logam anti karat,"['etanol', 'ganti', 'logam', 'anti', 'karat']","['etanol', 'ganti', 'logam', 'anti', 'karat']",etanol ganti logam anti karat
Fri Dec 26 20:08:22 +0000 2025,2000230083097976832,Cinta bahlil terhadap etanol adalah cinta kimia alias tidak organik,cinta bahlil terhadap etanol adalah cinta kimia alias tidak organik,cinta bahlil terhadap etanol adalah cinta kimia alias tidak organik,"['cinta', 'bahlil', 'etanol', 'cinta', 'kimia', 'alias', 'organik']","['cinta', 'bahlil', 'etanol', 'cinta', 'kimia', 'alias', 'organik']",cinta bahlil etanol cinta kimia alias organik
Fri Dec 26 19:57:00 +0000 2025,1496846304697528323,️ Dengan anggapan hemat BBM &amp; ramah lingkungan etanol sering jadi pilihan. Tapi apa dampaknya ke performa mesin dan konsumsi bensin? Baca di sini ️ https://t.co/NlunQUAaq3 #Sustainability #Etanol #FuelEfficiency #PerformaMesin #Otomotif,dengan anggapan hemat bbm amp ramah lingkungan etanol sering jadi pilihan tapi apa dampaknya ke performa mesin dan konsumsi bensin baca di sini,dengan anggapan hemat bbm amp ramah lingkungan etanol sering jadi pilihan tapi apa dampaknya ke performa mesin dan konsumsi bensin baca di sini,"['anggapan', 'hemat', 'bbm', 'amp', 'ramah', 'lingkungan', 'etanol', 'pilihan', 'dampaknya', 'performa', 'mesin', 'konsumsi', 'bensin', 'baca']","['anggap', 'hemat', 'bbm', 'amp', 'ramah', 'lingkung', 'etanol', 'pilih', 'dampak', 'performa', 'mesin', 'konsumsi', 'bensin', 'baca']",anggap hemat bbm amp ramah lingkung etanol pilih dampak performa mesin konsumsi bensin baca
Fri Dec 26 18:56:00 +0000 2025,1496846304697528323, Fakta penting bagi pemilik mobil: campuran etanol bisa mempengaruhi tenaga mesin &amp; jarak tempuh. Yuk ketahui risikonya sebelum mencoba! https://t.co/NlunQUAaq3 #BBMEtanol #PerformaKendaraan #EcoDriving #MobilIndonesia #Bensin,fakta penting bagi pemilik mobil campuran etanol bisa mempengaruhi tenaga mesin amp jarak tempuh yuk ketahui risikonya sebelum mencoba,fakta penting bagi pemilik mobil campuran etanol bisa mempengaruhi tenaga mesin amp jarak tempuh yuk ketahui risikonya sebelum mencoba,"['fakta', 'pemilik', 'mobil', 'campuran', 'etanol', 'mempengaruhi', 'tenaga', 'mesin', 'amp', 'jarak', 'tempuh', 'yuk', 'ketahui', 'risikonya', 'mencoba']","['fakta', 'milik', 'mobil', 'campur', 'etanol', 'pengaruh', 'tenaga', 'mesin', 'amp', 'jarak', 'tempuh', 'yuk', 'tahu', 'risiko', 'coba']",fakta milik mobil campur etanol pengaruh tenaga mesin amp jarak tempuh yuk tahu risiko coba
Fri Dec 26 17:56:00 +0000 2025,1496846304697528323, Penasaran apakah bensin + etanol benar-benar efisien? Cek rangkuman kelebihan dan kekurangannya di artikel berikut https://t.co/NlunQUAIfB #Etanol #BBM #PerformaMesin #TipsMobil #Otomotif,penasaran apakah bensin etanol benar benar efisien cek rangkuman kelebihan dan kekurangannya di artikel berikut,penasaran apakah bensin etanol benar benar efisien cek rangkuman kelebihan dan kekurangannya di artikel berikut,"['penasaran', 'bensin', 'etanol', 'efisien', 'cek', 'rangkuman', 'kelebihan', 'kekurangannya', 'artikel']","['penasaran', 'bensin', 'etanol', 'efisien', 'cek', 'rangkum', 'lebih', 'kurang', 'artikel']",penasaran bensin etanol efisien cek rangkum lebih kurang artikel
Fri Dec 26 16:56:00 +0000 2025,1496846304697528323, Data &amp; fakta: Seberapa signifikan campuran etanol terhadap konsumsi bahan bakar? Semua terjawab di blogpost terbaru kami ️ https://t.co/NlunQUAaq3 #DataOtomotif #EtanolCampuran #KonsumsiBBM #FuelEfficiency #CarPerformance,data amp fakta seberapa signifikan campuran etanol terhadap konsumsi bahan bakar semua terjawab di blogpost terbaru kami,data amp fakta seberapa signifikan campuran etanol terhadap konsumsi bahan bakar semua terjawab di blogpost terbaru kami,"['data', 'amp', 'fakta', 'signifikan', 'campuran', 'etanol', 'konsumsi', 'bahan', 'bakar', 'terjawab', 'blogpost', 'terbaru']","['data', 'amp', 'fakta', 'signifikan', 'campur', 'etanol', 'konsumsi', 'bahan', 'bakar', 'jawab', 'blogpost', 'baru']",data amp fakta signifikan campur etanol konsumsi bahan bakar jawab blogpost baru
Fri Dec 26 16:52:22 +0000 2025,1529472830,Tahun depan etanol maen? https://t.co/4jY98w3ALx,tahun depan etanol maen,tahun depan etanol main,"['etanol', 'main']","['etanol', 'main']",etanol main
