word,frequency
etanol,1165
energi,783
bbm,728
bahan,702
pertamina,616
bakar,597
indonesia,427
campur,402
sumber,379
kandung,350
daya,349
spbu,346
hasil,312
bahlil,305
2025,286
perintah,281
bensin,280
minyak,279
mineral,273
negara,272
menteri,268
impor,245
tanam,237
daerah,235
motor,231
persen,230
sawit,220
e10,216
kendara,215
milik,211
masyarakat,205
kembang,201
swasta,195
salah,194
bioetanol,192
beli,190
mesin,185
presiden,174
tingkat,173
tebu,172
air,169
pertalite,165
guna,165
usaha,161
terap,158
bijak,157
papua,156
lingkung,156
fuel,156
kurang,155
produk,152
jalan,149
nasional,149
sesuai,149
produksi,148
shell,147
program,145
hutan,145
dukung,140
prabowo,139
manfaat,137
brasil,134
batas,132
singkong,127
jakarta,125
rencana,124
niaga,124
base,124
patra,122
teknologi,121
tani,120
persero,119
industri,118
nilai,118
kerja,117
10persen,111
dorong,111
langkah,110
temu,110
emisi,108
wilayah,107
pangan,106
kait,106
ekonomi,105
lanjut,105
utama,104
vivo,102
lapor,102
capai,101
pakai,101
kuat,101
tenaga,99
pasok,99
mobil,98
jenis,97
suzuki,97
karbon,97
ramah,97
tahan,96
sorgum,95
turun,95
kutip,93
direktur,93
proses,92
sebut,91
sedia,91
negeri,91
bangun,91
pabrik,88
terang,88
alami,88
juta,87
harap,87
lahan,87
butuh,86
harga,86
penuh,85
bantu,85
buka,84
kelapa,84
pertamax,83
uji,83
jawa,82
triliun,82
tambah,80
baku,79
lahadalia,79
aman,78
kadar,78
tekan,78
jaga,77
sektor,77
listrik,77
solar,77
isi,76
standar,76
jual,75
dasar,74
bukti,74
rendah,73
tuju,73
turut,73
swasembada,72
green,72
kualitas,72
batal,72
mandiri,71
konsumsi,71
jagung,70
potensi,70
tumbuh,69
atur,69
sebab,69
ron,69
target,67
pusat,67
amerika,66
baru,66
dampak,66
satu,65
bersih,65
laku,65
biodiesel,65
bentuk,65
komitmen,65
konten,64
tanah,64
tulis,63
rabu,63
mandatori,63
dunia,63
olah,63
luas,62
arah,62
5persen,62
gas,62
alam,61
badan,61
kondisi,61
jadi,61
sistem,61
murni,61
hadir,61
keluh,61
masuk,60
mudah,60
langsung,60
kota,58
gula,58
wakil,58
minum,58
coba,57
gantung,57
achmad,56
akibat,56
cepat,56
salur,56
subianto,56
terima,54
ribu,53
migas,53
rapat,53
sepakat,53
kelola,53
upaya,53
informasi,53
akr,52
kebun,52
jahe,51
fungsi,51
teknis,51
toyota,51
konsumen,51
banding,51
ega,51
negosiasi,51
selasa,51
rumah,51
asam,51
alkohol,50
makan,50
20persen,50
rakyat,50
dapat,50
kolaborasi,49
ganti,49
ubah,49
jumat,49
implementasi,49
nyata,49
global,49
laksana,48
lokal,48
proyek,48
oktan,47
senyawa,47
orang,47
teman,46
kayak,46
kali,46
tubuh,46
nabati,46
otomotif,46
besar,46
teliti,46
barat,46
ton,46
100,45
golkar,45
simon,45
kawasan,45
e20,45
spesifikasi,45
wajib,45
dpr,44
performa,44
hidup,44
serap,44
bas,44
ratus,44
rekan,43
media,43
layan,43
roberth,43
warga,43
beda,42
bidang,42
resmi,42
aku,42
strategis,42
