title,publish_date,content
Polri Tetapkan Eks Irjen Kementerian ESDM Tersangka Dugaan Korupsi Rp 19 M,"Rabu, 31 Des 2025 15:58 WIB","Korps Pemberantasan Tindak Pidana Korupsi (Kortas Tipikor) Polri mengungkap kasus dugaan korupsi pada Ditjen Energi Baru Terbarukan dan Konservasi Energi (EBTKE) Kementerian ESDM terkait pengadaan penerangan jalan umum tenaga surya (PJUTS). Polri menyebut kerugian dalam kasus ini Rp 19.522.256.578,74.

Dirtindak Kortastipidkor Brigjen Totok Suharyanto mengatakan ada tiga orang yang ditetapkan sebagai tersangka dalam kasus tersebut. Ketiga tersangka ialah AS selaku mantan Inspektur Jenderal Kementerian ESDM RI periode 2017-2023, HS selaku mantan Sekretaris Ditjen EBTKE sekaligus KPA 2019-2021 dan L selaku mantan Direktur Operasional PT LEN Industri.

Totok mengatakan kasus ini terjadi pada 2020. Saat itu, katanya, Ditjen EBTKE mengadakan lelang pemasangan PJUTS sebanyak 6.835 unit di tujuh provinsi. Sebelum pelaksanaan lelang, tersangka AS diduga melakukan kongkalikong dengan HS dan L untuk memenangkan PT LEN Industri.


SCROLL TO CONTINUE WITH CONTENT


""Caranya adalah dengan melakukan perubahan spesifikasi dan pemaketan yang semula 15 paket kecil digabung menjadi lima paket (tiga paket besar dan dua paket menengah bernilai Rp 100 miliar ke atas) agar PT LEN Industri bisa mengikuti lelang,"" jelasnya.

""Meskipun pada proses lelang PT LEN Industri sempat dinyatakan gugur, Tersangka HS meminta review ulang dan Tersangka AS menerbitkan laporan rekomendasi klarifikasi yang merupakan tindakan post-bidding yang dilarang,"" tambahnya.

Dia mengatakan pemenang lelang diduga melakukan pengalihan pekerjaan kepada pihak lain tanpa sepengetahuan PPK. Akibatnya, kata Totok, beberapa PJUTS tidak terpasang dan spesifikasinya rendah.

""Sehingga negara mengalami kerugian sebesar Rp 19.522.256.578,74,"" tuturnya.

Penyidik telah memeriksa 56 saksi, tiga ahli, serta melakukan penggeledahan di kantor Ditjen EBTKE dan Inspektorat Jenderal ESDM. Polisi juga memblokir 31 aset tanah seluas 38.697 meter persegi milik tersangka L di wilayah Bandung dan Sumedang.

Ketiga tersangka dijerat Pasal 2 dan atau Pasal 3 Undang-Undang Nomor 31 Tahun 1999 tentang Pemberantasan Tindak Pidana Korupsi juncto Pasal 55 ayat (1) ke-1 Kitab Undang-Undang Hukum Pidana.

Simak juga Video 'Bahlil Incar Papua untuk Produksi Bahan Baku Etanol':"
"Bahlil Copot Ijeck dari Ketua DPD Golkar Sumut, Sekjen Angkat Bicara","Jumat, 19 Des 2025 10:41 WIB","Sekretaris Jenderal (Sekjen) Partai Golkar, Sarmuji, menjelaskan alasan Musa Rajekshah (Ijeck) dicopot dari jabatannya sebagai ketua DPD Partai Golkar Provinsi Sumatera Utara. Sarmuji mengklaim pergantian Ijeck hanya untuk kepentingan musyawarah daerah (Musda).

""Pergantian untuk kepentingan penyelenggaraan Musda saja,"" kata Sarmuji kepada wartawan, Jumat (19/12/2025).


SCROLL TO CONTINUE WITH CONTENT


Sarmuji mengatakan rencananya Ijeck akan diangkat menjadi pengurus DPP Golkar. Adapun posisi Ketua DPD Golkar Sumut kini diisi oleh Pelaksana Tugas (Plt) yakni Ahmad Doli Kurnia Tandjung yang merupakan Wakil Ketua Baleg DPR RI.

""Pak Ijeck rencana diangkat menjadi pengurus DPP,"" ungkap Sarmuji.

Pencopotan Ijeck tertuang dalam Surat Keputusan DPP Partai Golkar Nomor Skep-132/DPP/GOLKAR/XII/2025 tentang Penunjukan Pejabat Pelaksana Tugas Ketua DPD Partai Golkar Provinsi Sumatera Utara. Surat tersebut ditandatangani oleh Ketua DPP Golkar Bahlil Lahadalia dan Sekjen Partai Golkar Muhammad Sarmuji.

Dalam surat itu, posisi Ketua DPD Golkar Sumut diisi oleh Pelaksana Tugas (Plt) Ahmad Doli Kurnia Tandjung.

""Menunjuk dan mengesahkan Saudara Ahmad Doli Kurnia Tandjung, Wakil Ketua Umum Pemenangan Pemilu Wilayah Sumatera DPP Partai Golkar untuk merangkap jabatan sebagai Pelaksana Tugas (Plt) Ketua DPD Partai GOLKAR Provinsi Sumatera Utara menggantikan Saudara Musa Rajekshah,"" tulis surat tersebut dilihat detikSumut, Kamis (18/12/2025).

Dalam poin keputusan, Ahmad Doli diminta untuk mempersiapkan dan menyelenggarakan Musyawarah Daerah (Musda) Partai Golkar Provinsi Sumatera Utara sesuai dengan peraturan yang berlaku.

Doli juga diminta untuk melaksanakan tugas dengan sebaik-baiknya dengan penuh rasa tanggung jawab dan melaporkan pelaksanaannya kepada Ketua Umum DPP Partai Golkar.

""Surat Keputusan ini mulai berlaku sejak tanggal ditetapkan dan apabila di kemudian hari terdapat kekeliruan, akan dilakukan perbaikan seperlunya,"" tutupnya. 

Tonton juga video ""Bahlil Incar Papua untuk Produksi Bahan Baku Etanol"""
"Bahlil Copot Ijeck dari Ketua DPD Golkar Sumut, Doli Jadi Plt","Jumat, 19 Des 2025 10:30 WIB","Anggota DPR RI Musa Rajekshah atau Ijeck dicopot dari posisi ketua DPD Partai Golkar Provinsi Sumatera Utara (Sumut). Posisi Ijeck digantikan sesama anggota DPR RI dari Golkar yakni Ahmad Doli Kurnia Tandjung yang menjabat Plt.

Pencopotan Ijeck tertuang dalam Surat Keputusan DPP Partai Golkar Nomor Skep-132/DPP/GOLKAR/XII/2025 tentang Penunjukan Pejabat Pelaksana Tugas Ketua DPD Partai Golkar Provinsi Sumatera Utara. Surat tersebut ditandatangani Ketua Umum Golkar Bahlil Lahadalia dan Sekjen Muhammad Sarmuji.

""Menunjuk dan mengesahkan Saudara Ahmad Doli Kurnia Tandjung, Wakil Ketua Umum Pemenangan Pemilu Wilayah Sumatera DPP Partai Golkar untuk merangkap jabatan sebagai Pelaksana Tugas (Plt) Ketua DPD Partai GOLKAR Provinsi Sumatera Utara menggantikan Saudara Musa Rajekshah,"" tulis surat tersebut seperti dikutip dari detikSumut, Kamis (18/12/2025).


SCROLL TO CONTINUE WITH CONTENT


Ahmad Doli diminta mempersiapkan dan menyelenggarakan Musyawarah Daerah (Musda) Partai Golkar Provinsi Sumatera Utara sesuai dengan peraturan yang berlaku.

""Melakukan langkah-langkah strategis untuk konsolidasi organisasi di DPD Partai Golkar Provinsi Sumatera Utara. Masa penugasan sebagai pejabat Pelaksana Tugas Ketua DPD Partai Golkar Provinsi Sumatera Utara berakhir sampai dengan pelaksanaan Musda Partai Golkar Provinsi Sumatera Utara,"" tulis keterangan surat tersebut.

Baca di sini. 

Tonton juga video ""Bahlil Incar Papua untuk Produksi Bahan Baku Etanol"""
"Prabowo Ingin Papua Ditanam Sawit, PKB Ingatkan Jangan Buka Hutan Baru","Kamis, 18 Des 2025 06:45 WIB","Presiden Prabowo Subianto berharap Papua ditanam kelapa sawit untuk menghasilkan bahan bakar minyak (BBM). Anggota Komisi IV DPR yang juga Ketua DPP PKB Daniel Johan menyorot dampak alih fungsi hutan.

""Pengalaman pahit di berbagai daerah-di mana alih fungsi hutan untuk sawit dan pertambangan telah memicu banjir, banjir bandang, dan krisis ekologis-harus menjadi pelajaran serius,"" ujar Daniel kepada wartawan, Kamis (18/12/2025).

Menurutnya, perlu dicek kontur tanah di Papua yang akan ditanam sawit. Ia tidak ingin pembukaan hutan baru untuk penanaman sawit apalagi di daerah pegunungan dan jalur Daerah Aliran Sungai (DAS), memicu potensi bencana seperti banjir dan tanah longsor.


SCROLL TO CONTINUE WITH CONTENT


""Jika, penanaman sawit dilakukan di lahan yang sudah eksisting tentu tidak menjadi permasalahan baru, ini yang harus diperhatikan oleh pemerintah. Bahwa tidak boleh ada pembukaan hutan baru untuk lahan sawit,"" kata Daniel.

Papua, kata Daniel, bukan sekadar ruang kosong untuk ekspansi komoditas, melainkan benteng ekologi terakhir Indonesia dengan fungsi hidrologis yang sangat vital.

 

""Jika pembukaan hutan dilakukan tanpa kehati-hatian, tanpa perlindungan hutan dan wilayah adat, risiko bencana ekologis yang kini terjadi di Sumatera, Aceh berpotensi terulang, bahkan dengan dampak yang lebih besar,"" sambungnya.

Daniel menegaskan pembangunan di Papua harus berbasis kehati-hatian, kajian lingkungan yang ketat, perlindungan masyarakat adat, serta tata ruang yang jelas. Bagi Daniel, kemandirian energi tidak boleh dibayar dengan kerusakan lingkungan permanen dan penderitaan rakyat Papua di masa depan.

""Untuk memaksimalkan energi dari minyak nabati (sawit) cukup dengan memaksimalkan potensi lahan yang sudah ada yang mencapai lebih dari 16 juta ha, bahkan melalui Satgas PKH sudah melakukan inventarisir lahan-lahan yang bermasalah dan diambil alih negara, ini yang harus dimaksimalkan produksinya sehingga tidak ada lagi membuka hutan/lahan untuk perkebunan sawit,"" tutur Daniel.

Sebelumnya, Presiden Prabowo ingin menjadikan Papua swasembada energi dengan mengoptimalkan sumber daya yang dikelola masyarakat setempat. Dengan begitu, ketergantungan pada pasokan BBM dari luar daerah dapat dihentikan dan harga energi di Papua menjadi lebih terjangkau.

""Saya kira Papua punya sumber energi yang sangat baik dan Menteri ESDM juga sudah merancang bahwa daerah-daerah Papua harus menikmati hasil daripada energi yang diproduksi di Papua. Di samping itu kita ujungnya nanti daerah-daerah yang sulit kita harus dengan menggunakan tenaga surya atau tenaga air,"" kata Prabowo saat memberikan arahan di depan kepala daerah se-Papua, di Istana Negara, Jakarta, Selasa (16/12).

 

""Teknologi tenaga surya sekarang sudah semakin murah dan ini bisa untuk mencapai daerah-daerah terpencil, juga tenaga hidro sekarang ada hidro-hidro yang mini yang bisa juga dipakai di daerah yang terpencil. Ini semua adalah supaya ada kemandirian tiap daerah. Kalau ada tenaga surya dan tenaga air tidak perlu kirim-kirim BBM mahal-mahal dari daerah-daerah lain dan juga nanti,"" lanjutnya.

Prabowo berharap Papua ditanam kelapa sawit untuk menghasilkan BBM, serta tanaman lain sebagai penghasil bahan bakar seperti tebu hingga singkong. Prabowo menargetkan semua daerah bisa swasembada energi dalam 5 tahun ke depan.

""Kita berharap di daerah Papua pun harus ditanam kelapa sawit supaya bisa menghasilkan juga BBM dari kelapa sawit, juga tebu menghasilkan etanol, singkong cassava juga untuk menghasilkan etanol sehingga kita rencanakan dalam 5 tahun Semua daerah bisa berdiri di atas kakinya sendiri swasembada pangan dan swasembada energi,"" ujarnya.

Prabowo menyebut jika hal itu terwujud, Indonesia bisa menghemat ratusan triliun. Negara tak perlu impor BBM lagi dari luar.

Simak juga Video: Demi Swasembada Energi, Papua Akan Ditanami Sawit"
"Prabowo Ingin Papua Ditanam Sawit, Ketua DPD Sorot Keseimbangan Ekologis","Rabu, 17 Des 2025 20:02 WIB","Ketua Dewan Perwakilan Daerah (DPD) RI Sultan Najamudin menyoroti Presiden Prabowo Subianto ingin Papua swasembada energi, salah satunya dengan cara memanfaatkan kelapa sawit untuk menghasilkan BBM. Sultan mendukung langkah tersebut tetapi mesti memperhatikan keseimbangan ekologis.

Menurutnya, secara natural sawit merupakan sumber daya ekonomi yang inklusif dan efektif menciptakan lapangan kerja dan mendongkrak Pendapatan Asli Daerah (PAD). Ia berharap lewat kebijakan itu swasembada energi di Papua bisa terwujud.

""Kami menghormati upaya Presiden menjadikan sawit sebagai instrument untuk mencapai visi swasembada energi dan pangan. Dengan sawit dan tebu Indonesia memimpin agenda pengembangan energi baru terbarukan di era perubahan iklim,"" ujar Sultan dalam keterangannya, Rabu (17/12/2025).


SCROLL TO CONTINUE WITH CONTENT


Ia menyebut sawit bisa menjadi soft power Indonesia dalam agenda diplomasi dagang Indonesia. Ia berharap RI dikenal sebagai negara pengekspor minyak sawit terbesar di dunia.

""Dulu Indonesia pernah dikenal sebagai negara pengekspor minyak bumi, tapi saat ini kita telah bertransformasi menjadi negara pengekspor minyak sawit (CPO) terbesar dunia. Sehingga sawit menjadi salah satu produk unggulan dan andalan Indonesia dalam rantai pasok global,"" ujarnya.

 

Meski demikian, ia mengingatkan agar ekstensifikasi perkebunan sawit dan tebu memperhatikan daya dukung lingkungan. Jangan sampai, ujar Sultan, konversi lahan menggeser ruang hidup masyarakat adat dan satwa endemik Papua.

""Ekstensifikasi perkebunan sawit sebaiknya dikembangkan oleh BUMN dan BUMD atau bahkan BUMdes dengan memperhatikan keseimbangan ekologis. Selain itu, penting juga agar melibatkan partisipasi masyarakat setempat dalam industri perkebunan kelapa sawit,"" katanya.

Sebelumnya, Presiden Prabowo Subianto ingin menjadikan Papua swasembada energi dengan mengoptimalkan sumber daya yang dikelola masyarakat setempat. Dengan begitu, ketergantungan pada pasokan BBM dari luar daerah dapat dihentikan dan harga energi di Papua menjadi lebih terjangkau.

""Saya kira Papua punya sumber energi yang sangat baik dan Menteri ESDM juga sudah merancang bahwa daerah-daerah Papua harus menikmati hasil daripada energi yang diproduksi di Papua. Di samping itu kita ujungnya nanti daerah-daerah yang sulit kita harus dengan menggunakan tenaga surya atau tenaga air,"" kata Prabowo saat memberikan arahan di depan kepala daerah se-Papua, di Istana Negara, Jakarta, Rabu (16/12/2025).

""Teknologi tenaga surya sekarang sudah semakin murah dan ini bisa untuk mencapai daerah-daerah terpencil, juga tenaga hidro sekarang ada hidro-hidro yang mini yang bisa juga dipakai di daerah yang terpencil. Ini semua adalah supaya ada kemandirian tiap daerah. Kalau ada tenaga surya dan tenaga air tidak perlu kirim-kirim BBM mahal-mahal dari daerah-daerah lain dan juga nanti,"" lanjutnya.

Prabowo berharap Papua ditanam kelapa sawit untuk menghasilkan BBM, serta tanaman lain sebagai penghasil bahan bakar seperti tebu hingga singkong. Prabowo menargetkan semua daerah bisa swasembada energi dalam 5 tahun ke depan.

""Kita berharap di daerah Papua pun harus ditanam kelapa sawit supaya bisa menghasilkan juga BBM dari kelapa sawit, juga tebu menghasilkan etanol, singkong cassava juga untuk menghasilkan etanol sehingga kita rencanakan dalam 5 tahun Semua daerah bisa berdiri di atas kakinya sendiri swasembada pangan dan swasembada energi,"" ujarnya.

Prabowo menyebut jika hal itu terwujud, Indonesia bisa menghemat ratusan triliun. Negara tak perlu impor BBM lagi dari luar.

Simak juga Video 'Demi Swasembada Energi, Papua Akan Ditanami Sawit':"
"Prabowo Mau Papua Ditanam Sawit, Waka Komisi IV DPR Beri Catatan Ini","Rabu, 17 Des 2025 11:28 WIB","Presiden Prabowo Subianto ingin Papua swasembada energi, salah satunya dengan cara memanfaatkan kelapa sawit untuk menghasilkan BBM. Wakil Ketua Komisi IV DPR RI, Alex Indra Lukman, menyebut kebijakan itu harus dilaksanakan dengan perencanaan dan analisa dampak lingkungan yang baik.

""Kami berharap arahan dari Bapak Presiden tersebut dilaksanakan dengan perencanaan dan analisa dampak lingkungan yang baik sehingga tata ruang terjaga, di mana hutan alam sebagai wilayah serapan air tetap terjaga dan terlindungi,"" kata Alex kepada wartawan, Rabu (17/12/2025).


SCROLL TO CONTINUE WITH CONTENT


Legislator PDIP ini mengatakan hutan bisa dimanfaatkan untuk kehidupan. Namun, ia menekankan jangan sampai kebijakan yang diambil pemerintah justru menjadi sumber malapetaka.

""Hutan harus bisa kita manfaatkan untuk kehidupan, tetapi juga harus dipastikan tidak menjadi sumber malapetaka,"" ungkapnya.

Alex bertahap tak seluruhnya wilayah hutan Papua ditanami kelapa sawit. Ia mengatakan hutan mesti menjadi serapan air sebagaimana fungsinya.

""Iya, hutan alam peruntukan serapan air tidak boleh dialihfungsikan,"" ucap dia.

Sebelumnya, Presiden Prabowo Subianto ingin menjadikan Papua swasembada energi dengan mengoptimalkan sumber daya yang dikelola masyarakat setempat. Dengan begitu, ketergantungan pada pasokan BBM dari luar daerah dapat dihentikan dan harga energi di Papua menjadi lebih terjangkau.

""Saya kira Papua punya sumber energi yang sangat baik dan Menteri ESDM juga sudah merancang bahwa daerah-daerah Papua harus menikmati hasil daripada energi yang diproduksi di Papua. Di samping itu kita ujungnya nanti daerah-daerah yang sulit kita harus dengan menggunakan tenaga surya atau tenaga air,"" kata Prabowo saat memberikan arahan di depan kepala daerah se-Papua, di Istana Negara, Jakarta, Selasa (16/12).

""Teknologi tenaga surya sekarang sudah semakin murah dan ini bisa untuk mencapai daerah-daerah terpencil, juga tenaga hidro sekarang ada hidro-hidro yang mini yang bisa juga dipakai di daerah yang terpencil. Ini semua adalah supaya ada kemandirian tiap daerah. Kalau ada tenaga surya dan tenaga air tidak perlu kirim-kirim BBM mahal-mahal dari daerah-daerah lain dan juga nanti,"" lanjutnya.

Prabowo berharap Papua ditanam kelapa sawit untuk menghasilkan BBM, serta tanaman lain sebagai penghasil bahan bakar seperti tebu hingga singkong. Prabowo menargetkan semua daerah bisa swasembada energi dalam 5 tahun ke depan.

""Kita berharap di daerah Papua pun harus ditanam kelapa sawit supaya bisa menghasilkan juga BBM dari kelapa sawit, juga tebu menghasilkan etanol, singkong cassava juga untuk menghasilkan etanol sehingga kita rencanakan dalam 5 tahun Semua daerah bisa berdiri di atas kakinya sendiri swasembada pangan dan swasembada energi,"" ujarnya.

Prabowo menyebut jika hal itu terwujud, Indonesia bisa menghemat ratusan triliun. Negara tak perlu impor BBM lagi dari luar.

Simak juga Video Prabowo Mau Papua Harus Ditanam Kelapa Sawit untuk BBM"
Prabowo Harap Papua Ditanam Kelapa Sawit-Tebu untuk Hasilkan BBM hingga Etanol,"Rabu, 17 Des 2025 08:49 WIB","Presiden Prabowo Subianto ingin menjadikan Papua swasembada energi dengan mengoptimalkan sumber daya yang dikelola masyarakat setempat. Dengan begitu, ketergantungan pada pasokan BBM dari luar daerah dapat dihentikan dan harga energi di Papua menjadi lebih terjangkau.

""Saya kira Papua punya sumber energi yang sangat baik dan Menteri ESDM juga sudah merancang bahwa daerah-daerah Papua harus menikmati hasil daripada energi yang diproduksi di Papua. Di samping itu kita ujungnya nanti daerah-daerah yang sulit kita harus dengan menggunakan tenaga surya atau tenaga air,"" kata Prabowo saat memberikan arahan di depan kepala daerah se-Papua, di Istana Negara, Jakarta, Rabu (16/12/2025).


SCROLL TO CONTINUE WITH CONTENT


""Teknologi tenaga surya sekarang sudah semakin murah dan ini bisa untuk mencapai daerah-daerah terpencil, juga tenaga hidro sekarang ada hidro-hidro yang mini yang bisa juga dipakai di daerah yang terpencil. Ini semua adalah supaya ada kemandirian tiap daerah. Kalau ada tenaga surya dan tenaga air tidak perlu kirim-kirim BBM mahal-mahal dari daerah-daerah lain dan juga nanti,"" lanjutnya.

Prabowo berharap Papua ditanam kelapa sawit untuk menghasilkan BBM, serta tanaman lain sebagai penghasil bahan bakar seperti tebu hingga singkong. Prabowo menargetkan semua daerah bisa swasembada energi dalam 5 tahun ke depan.

""Kita berharap di daerah Papua pun harus ditanam kelapa sawit supaya bisa menghasilkan juga BBM dari kelapa sawit, juga tebu menghasilkan etanol, singkong cassava juga untuk menghasilkan etanol sehingga kita rencanakan dalam 5 tahun Semua daerah bisa berdiri di atas kakinya sendiri swasembada pangan dan swasembada energi,"" ujarnya.

Prabowo menyebut jika hal itu terwujud, Indonesia bisa menghemat ratusan triliun. Negara tak perlu impor BBM lagi dari luar.

""Dengan demikian kita akan menghemat ratusan triliun untuk subsidi, ratusan triliun untuk impor BBM dari luar negeri. Tahun ini tiap tahun kita mengeluarkan peraturan triliun untuk impor BBM kalau kita bisa tanam kelapa sawit, tanam singkong, tanam serbuk pakai tenaga surya dan tenaga air bayangkan berapa ratus triliun kita bisa hemat tiap tahun,"" ujarnya.

""Menteri ESDM berapa impor kita BBM dari luar? Rp 520 triliun, bayangkan kalau kita bisa potong setengah berarti ada Rp 250 triliun apalagi kita bisa potong Rp 500 triliun, Rp 500 triliun itu berarti tiap Kabupaten bisa punya kemungkinan bisa punya satu triliun tiap Kabupaten, bagaimana membangunnya kita coba bayangkan kita negara kaya apa? Ini bisa kita lakukan,"" lanjut Prabowo.

Simak Video Prabowo Mau Papua Harus Ditanam Kelapa Sawit untuk BBM"
Video Prabowo Mau Papua Harus Ditanam Kelapa Sawit untuk BBM,"Selasa, 16 Des 2025 19:06 WIB","Presiden Prabowo Subianto meminta di daerah Papua juga ditanam kelapa sawit hingga tebu. Hal itu untuk menghasilkan etanol guna bahan bakar minyak (BBM).

Prabowo mengatakan jika mampu swasembada energi mampu menghemat impor BBM senilai ratusan triliun rupiah."
"Turis China yang Tewas di Bali Dipastikan Tak Keracunan, Ini Dugaan Sementara","Senin, 24 Nov 2025 18:39 WIB","Polres Badung telah melakukan pemeriksaan laboratorium terhadap turis China, Deqinzuoga, yang tewas di Clandestino Hotel, Desa Canggu, Kecamatan Kuta Utara, Badung, Bali. Polisi memastikan korban tidak keracunan.

""Setelah dilakukan pemeriksaan laboratoris kriminalistik bahwa bahasa racun itu sudah tidak terdeteksi dalam pemeriksaan laboratoris kriminalistik. Jadi, racun, pestisida, arsen, sianida maupun metanol, dan alkohol tidak terdeteksi. Sehingga, bahasa yang berkembang, racun itu sudah terpatahkan secara scientific investigation,"" ujar Kepala Satuan Reserse Kriminal (Kasatreskrim) Polres Badung, AKP Azarul Ahmad, di kantornya, dilansir detikBali, Senin (24/11/2025).


SCROLL TO CONTINUE WITH CONTENT


Dokter Instalasi Forensik dan Pemulasaraan Jenazah Rumah Sakit Umum Pusat (RSUP) Prof Ngoerah, Denpasar, Kunthi Yulianti, menjelaskan telah mengambil sampel dari beberapa organ korban, termasuk darah, urine, cairan lambung, hati, paru-paru, dan ginjal, untuk diperiksa di Laboratorium Forensik (Labfor) Polda Bali. Hasilnya, tidak ditemukan senyawa beracun.

""Tidak ditemukan adanya pestisida pada seluruh sediaan. Juga pada seluruh sediaan tidak ditemukan atau tidak terdeteksi adanya narkoba. Untuk metanol dan etanol juga tidak ditemukan pada seluruh sediaan,"" ujar Kunthi.

Walhasil, dokter belum mengetahui penyebab kematian turis China itu. Meski penyebab kematian belum dapat dipastikan, hasil pemeriksaan makroskopis menunjukkan adanya iritasi pada saluran pencernaan yang menyebabkan diare, kekurangan cairan, dan ketidakseimbangan elektrolit, yang bisa berperan dalam kematian korban.

""Maka saya menyimpulkan bahwa secara pasti sebab kematian ini memang masih abu-abu begitu ya. Tetapi, secara pemeriksaan makroskopis saya dari autopsi bahwa sebab kematian karena iritasi saluran pencernaan yang menimbulkan diare dan mengakibatkan kekurangan cairan dan elektrolit tidak dapat disingkirkan,"" jelas Kunthi.

Baca selengkapnya di sini

Simak juga Video: Pengaruh Konflik China-Jepang ke Pariwisata Indonesia"
BNPT & Pertamina Perkuat Kolaborasi Lindungi Objek Vital Nasional,"Selasa, 18 Nov 2025 14:50 WIB","Badan Nasional Penanggulangan Terorisme (BNPT) bersama PT Kilang Pertamina Internasional (PT KPI) memperkuat kolaborasi dalam melindungi objek vital nasional. Kolaborasi ini sekaligus meningkatkan kesiapsiagaan di lingkungan Kilang PT KPI Balikpapan.

Kepala BNPT Eddy Hartono menegaskan pentingnya berkolaborasi dalam meningkatkan kesiapsiagaan nasional, khususnya perlindungan objek vital dari potensi serangan terorisme.

""Kami bersinergi dan kolaborasi untuk sama-sama membangun sistem supaya objek vital strategis ini terlindungi dari pada ancaman terorisme,"" jelas Eddy, dalam keterangan tertulis, Selasa (18/11/2025).


SCROLL TO CONTINUE WITH CONTENT


Hal ini ia sampaikan saat menghadiri kegiatan Penguatan Wawasan Kebangsaan dengan mengangkat tema 'Strategic Security Partnership for National Energy Resilience' di Balikpapan, Senin (17/11).

Eddy menjelaskan ancaman terorisme kini berkembang ke ranah fisik maupun siber. Oleh karena itu, penguatan SDM menjadi elemen penting untuk mencegah penyusupan paham radikal terorisme.

""Kami jaga karena aset dan SDM itu termasuk bagian utuh tidak terpisahkan yang sama-sama harus dilindungi dan ditingkatkan sehingga nanti serangan terorisme itu dapat dicegah sejak dini,"" jelas Eddy.

Dukungan penuh datang dari pihak Pertamina. Manager Security PT KPI Rully Andyka menyampaikan bahwa kolaborasi strategis ini menjadi pilar penting dalam menjaga operasional energi nasional.

""Harapan kami kegiatan ini akan semakin memperkuat semangat kolaborasi antara Pertamina dan BNPT dalam ekosistem pengamanan objek vital nasional sehingga operasi energi nasional berlangsung secara aman handal dan berkelanjutan,"" ujar Rully.

Sementara itu, Direktur Utama PT Kilang Pertamina Balikpapan Bambang Harimurti menekankan pentingnya wawasan kebangsaan bagi seluruh pekerja Pertamina sebagai garda terdepan menjaga energi nasional.

""Kita sebagai insan Pertamina juga harus berpartisipasi menjaga keamanan kilang kita. Semoga dengan sosialisasi wawasan kebangsaan ini menggugah kita kembali merecharge kesadaran kita berbangsa dan bernegara kesadaran kita untuk menjaga aset bangsa,"" pungkasnya.

Tonton juga video ""Pertamina Mau Nyontek Brasil dalam Pengembangan Etanol"""
